@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12}

@data
104,'2018/02/09 21:48:42:248',2,439.410278,406.726196,42.718681,409.19046,409.495605,41.377605,387.78302,415.121246,40.952831,355.590576,416.254272,39.462135,328.151001,410.963806,39.120068,1
105,'2018/02/09 21:48:42:298',2,451.126709,407.594543,42.973068,420.492401,410.010071,41.598915,399.194519,415.522675,41.148216,366.723206,416.301086,39.611984,339.826416,410.673157,39.574936,1
106,'2018/02/09 21:48:42:349',2,460.062134,408.514435,42.979202,428.149078,410.721497,41.745026,406.709625,415.95105,41.414291,373.4935,416.581635,39.500916,347.467499,410.673126,39.77631,1
107,'2018/02/09 21:48:42:399',2,470.757813,409.92157,43.095463,436.754456,412.098145,42.096363,415.173828,416.772034,42.121979,380.779236,417.219482,39.583603,355.596863,410.834839,39.980118,1
108,'2018/02/09 21:48:42:448',2,481.770081,410.909943,43.383617,448.161865,412.856689,42.741661,426.587799,417.152588,43.190933,390.523743,417.983459,39.987846,365.73526,411.429962,40.451935,1
109,'2018/02/09 21:48:42:498',2,491.714874,410.522003,43.486492,457.265442,413.249634,43.185944,435.036469,417.319183,43.683331,398.241211,418.47699,40.139587,373.741028,411.759827,40.581955,1
110,'2018/02/09 21:48:42:548',2,500.848602,410.565887,43.616577,465.770264,413.69397,43.467255,443.180023,417.571289,44.00322,405.936371,418.935059,40.32106,381.726898,412.026123,40.794243,1
111,'2018/02/09 21:48:42:599',2,513.687622,410.952393,43.639618,478.569702,413.8479,43.748863,455.808716,417.394531,44.446609,417.184235,419.253326,40.773415,393.328094,412.023407,41.32943,1
112,'2018/02/09 21:48:42:650',2,526.198242,411.054565,44.173374,491.429932,413.411896,44.375725,468.574158,416.712769,45.125286,429.393982,418.983582,41.300148,405.779541,411.586609,41.871735,1
113,'2018/02/09 21:48:42:700',2,540.385376,410.201538,44.591114,506.1521,412.505524,44.854977,483.504364,415.893646,45.662109,443.741058,418.740509,41.858425,420.097595,411.434235,42.46814,1
114,'2018/02/09 21:48:42:749',2,555.520996,409.316559,44.833462,521.65332,411.633423,45.07729,499.346252,415.322571,45.925385,459.421387,418.65686,42.230976,435.377136,411.615265,42.856735,1
115,'2018/02/09 21:48:42:798',2,567.0448,409.182098,44.881065,532.943726,411.22168,45.104019,510.801086,414.853699,46.006435,470.976318,418.162659,42.550938,446.774597,411.038696,43.165398,1
116,'2018/02/09 21:48:42:849',2,583.032349,408.986542,45.591541,548.601929,410.881439,45.788055,526.535461,414.192841,46.74118,486.814575,417.64328,43.451393,462.68512,410.230225,43.985168,1
117,'2018/02/09 21:48:42:899',2,596.781982,408.329468,46.162853,560.521484,410.870087,46.355129,538.430298,413.645355,47.310646,498.613831,416.72995,44.034245,475.059784,408.801025,44.513241,1
118,'2018/02/09 21:48:42:948',2,612.969727,407.192932,46.599449,576.195068,410.399323,47.025677,554.496582,412.641937,48.08881,513.358459,415.707184,44.9146,490.590271,407.273193,45.44149,1
119,'2018/02/09 21:48:42:999',2,629.441772,404.939514,46.761005,593.013,408.516296,47.41325,571.898621,411.078247,48.534286,529.696411,415.057678,45.391968,506.711731,406.993408,45.962734,1
120,'2018/02/09 21:48:43:049',2,644.381042,404.594666,47.229454,608.047668,408.08786,47.969521,587.086792,410.781372,49.063366,544.172119,415.168945,45.708839,521.504517,407.169556,46.352119,1
121,'2018/02/09 21:48:43:099',2,659.938904,403.342468,47.817947,623.353638,406.92572,48.676914,602.588379,409.863129,49.761436,558.883972,415.334534,46.09911,536.547546,407.603912,46.798313,1
122,'2018/02/09 21:48:43:149',2,670.770874,403.662262,48.09058,635.083252,406.877228,48.848309,614.342285,409.939545,49.884434,570.318115,415.369934,46.217846,548.591919,407.691864,46.96645,1
123,'2018/02/09 21:48:43:199',2,677.49707,404.139648,48.424778,644.75177,406.076996,48.941925,624.161377,409.344727,49.94754,580.629089,414.958252,46.3493,558.859009,407.532684,47.141941,1
124,'2018/02/09 21:48:43:249',2,682.419006,405.273926,48.49696,654.488159,406.320923,48.84396,633.972229,409.670166,49.843609,590.764648,415.196899,46.447269,569.21167,407.870667,47.337482,1
125,'2018/02/09 21:48:43:299',2,687.897705,406.233765,48.451939,663.725464,407.506653,48.714767,643.233032,410.703552,49.723293,600.085144,415.706207,46.545689,579.164429,408.336334,47.557339,1
126,'2018/02/09 21:48:43:348',2,690.023804,407.341461,48.322861,670.538086,408.032623,48.395653,650.587708,411.328003,49.499493,607.654663,416.122314,46.561775,586.689575,408.894135,47.597961,1
127,'2018/02/09 21:48:43:401',2,694.569092,407.862671,48.221169,675.936279,408.776154,48.246407,656.138428,412.255554,49.326946,613.920288,416.66449,46.586727,593.019531,409.602234,47.70182,1
128,'2018/02/09 21:48:43:449',2,694.129089,408.834106,48.177208,677.82251,409.34729,48.135128,658.317871,412.812164,49.26125,615.915771,417.102478,46.527302,595.098572,410.087158,47.65926,1
129,'2018/02/09 21:48:43:499',2,696.639771,409.479523,48.225548,681.282104,410.03656,48.1451,661.745239,413.551392,49.247036,619.32666,417.611206,46.615532,598.777832,410.584595,47.809902,1
130,'2018/02/09 21:48:43:548',2,699.014038,409.666504,48.107887,683.332153,411.228638,48.223495,663.264771,414.719879,49.220413,620.982178,418.470154,46.65255,600.524292,411.365845,47.853542,1
131,'2018/02/09 21:48:43:599',2,703.116455,409.941986,48.00452,686.84845,411.949036,47.979103,666.796509,415.486206,48.983398,625.131287,418.961029,46.671143,604.429321,411.90863,47.835289,1
132,'2018/02/09 21:48:43:649',2,706.588379,409.621857,47.992115,689.107178,412.55014,47.859386,666.387756,417.180817,48.283344,628.081665,419.426117,46.72356,607.423462,412.330811,47.903496,1
133,'2018/02/09 21:48:43:698',2,713.093506,409.463593,48.087914,684.799805,416.637634,46.724785,664.040161,420.476135,47.169807,631.406067,420.161163,46.739197,610.993225,412.798553,47.90979,1
134,'2018/02/09 21:48:43:749',2,715.887573,409.256226,48.2309,684.358582,418.382263,46.617382,664.50769,421.638275,47.163521,632.635803,420.663635,46.858974,612.143921,412.988586,47.97625,1
135,'2018/02/09 21:48:43:799',2,715.235107,409.289734,48.653488,687.779053,417.780273,46.504345,668.463135,421.116089,47.032463,637.556519,420.069519,46.966568,616.138733,412.515106,48.03878,1
136,'2018/02/09 21:48:43:848',2,718.387329,408.647003,48.600086,688.817017,417.854523,46.57951,671.0224,421.368774,47.296597,640.000549,420.120911,47.294151,617.529663,412.55127,48.244019,1
137,'2018/02/09 21:48:43:898',2,721.084473,407.934326,48.841553,692.430176,416.660889,46.757626,674.415771,420.154419,47.350307,643.679077,418.733734,47.430054,621.017944,411.178253,48.411858,1
138,'2018/02/09 21:48:43:949',2,725.543701,405.081879,49.176788,695.877319,414.079987,47.193573,678.391541,417.635284,47.867924,647.532288,416.157135,48.020954,624.598511,408.57959,48.99987,1
139,'2018/02/09 21:48:43:998',2,727.988342,402.830566,49.407326,697.966797,411.94046,47.572754,680.870605,415.449066,48.344788,650.563599,413.776031,48.70105,627.384888,406.033508,49.689827,1
140,'2018/02/09 21:48:44:049',2,728.739319,400.043488,49.946117,699.330933,408.949463,48.084415,682.154175,412.473175,48.816021,651.670959,410.704346,49.082962,628.487427,402.884583,50.061794,1
141,'2018/02/09 21:48:44:100',2,727.957581,396.707489,50.157558,700.025391,405.263977,48.374432,683.062622,408.873444,49.148552,652.52832,407.199829,49.456032,629.282227,399.448212,50.455452,1
142,'2018/02/09 21:48:44:149',2,725.974121,391.025543,50.719658,705.224915,396.377686,49.168526,689.213501,400.652863,50.040287,658.805542,400.012756,50.496128,633.420837,393.017822,51.261864,1
143,'2018/02/09 21:48:44:199',2,726.84668,386.301636,50.955593,703.546265,391.764954,49.674503,687.361633,395.924011,50.529758,656.850708,394.791992,50.930683,631.08905,387.542542,51.569107,1
144,'2018/02/09 21:48:44:249',2,727.910095,381.650482,51.274963,701.122803,388.072052,50.247166,683.887573,391.899292,50.967678,653.036987,390.369843,51.218872,627.775635,382.771301,51.86734,1
145,'2018/02/09 21:48:44:300',2,727.529785,374.367371,52.172382,700.334595,381.030457,51.289169,682.587524,384.968323,51.931644,652.007446,383.476501,52.226429,626.49469,375.956238,52.798969,1
146,'2018/02/09 21:48:44:348',2,725.018311,370.920654,52.562088,697.639771,377.265778,51.675205,679.256348,381.250336,52.166222,649.094849,379.54953,52.499889,623.78949,371.9086,53.113739,1
147,'2018/02/09 21:48:44:398',2,721.96521,368.180115,52.879757,693.824341,374.568146,51.904427,674.858887,377.971619,52.333897,645.629395,375.330048,52.751984,621.350891,366.967316,53.414112,1
148,'2018/02/09 21:48:44:449',2,719.361938,364.843628,53.215828,688.908691,371.925415,52.095387,669.421753,374.77356,52.469864,640.856079,371.212616,52.880798,618.163391,362.127808,53.62468,1
149,'2018/02/09 21:48:44:499',2,717.221985,362.370483,53.413097,686.161133,369.743164,52.08606,667.23938,372.538269,52.536976,638.860596,368.953979,52.954891,616.139099,359.888702,53.649185,1
150,'2018/02/09 21:48:44:549',2,716.122559,358.895782,53.581078,684.905518,366.333374,52.276623,665.963135,369.014587,52.757652,637.822021,365.29718,53.203125,615.324219,355.969482,53.855968,1
151,'2018/02/09 21:48:44:599',2,715.435913,356.077759,53.871578,684.25769,363.525391,52.607658,665.035828,366.083313,53.066605,637.152039,362.079773,53.505806,615.168213,352.428345,54.137955,1
